word,cv_dist_subtl_all_100,cv_dist_subtl_all_200,cv_dist_subtl_nearest_100,cv_dist_subtl_nearest_200,cv_dist_wiki_all_100,cv_dist_wiki_all_200,cv_dist_wiki_nearest_100,cv_dist_wiki_nearest_200,cv_pairdist_subtl_all_100,cv_pairdist_subtl_all_200,cv_pairdist_subtl_nearest_100,cv_pairdist_subtl_nearest_200,cv_pairdist_wiki_all_100,cv_pairdist_wiki_all_200,cv_pairdist_wiki_nearest_100,cv_pairdist_wiki_nearest_200,gv_dist,gv_pairdist,nbhd_dist_100,nbhd_dist_20,nbhd_dist_200,nbhd_pairdist_100,nbhd_pairdist_20,nbhd_pairdist_200
gopher,0.8103616768109755,0.8103616768109755,0.8103616768109754,0.8103616768109754,0.5948390767359778,0.5948390767359778,0.42882009090477347,0.4563488670435018,0.7371351551421677,0.7371351551421677,0.7371351551421677,0.7371351551421677,0.4148658125532263,0.4148658125532263,0.23295127895714746,0.2709629082105603,0.5255864787757408,0.08218210532340542,0.46753318875015687,0.40947643559699287,0.49086624770486337,0.4255054365142228,0.3821847114554286,0.45286714510122783
speed,0.7640064010289743,0.7640064010289743,0.5534581853228265,0.5934987768062805,0.6232701449446172,0.6232701449446172,0.4918368872473774,0.5199901319967386,0.7485888079529214,0.7485888079529214,0.5521679851827495,0.5731547924818063,0.4424282489955347,0.4424282489955347,0.3700293565073786,0.3865515576677435,0.6703958201064629,0.47360849553794215,0.5171012938491518,0.4233636480732638,0.5523407591332872,0.6570975040471815,0.5432600086901449,0.6724783542754248
poet,0.7868317694061551,0.7868317694061551,0.5697002693545768,0.6474643756339371,0.5354223645170777,0.5354223645170777,0.3403622618705565,0.3791234937511275,0.7639013777040098,0.7639013777040098,0.5648520996646467,0.6081793475239741,0.4048146010904466,0.4048146010904466,0.2892252446407696,0.3170028076922574,0.5290785812517647,0.22599882570745666,0.3712768726898549,0.2656260656002377,0.4151955312242187,0.5205003172794724,0.387116540059852,0.5762387962963001
unmarked,0.7819418525033697,0.7819418525033697,0.7819418525033696,0.7819418525033696,0.6628538330256402,0.6628538330256402,0.5411176100459393,0.5660617615649864,0.7222596290715068,0.7222596290715068,0.7222596290715068,0.7222596290715068,0.4519088317016303,0.4519088317016303,0.3602806705496043,0.3700302047593302,0.751372706101767,0.0,0.47961094477774113,0.4040012092246769,0.5200729146606837,0.4393381911072621,0.34017810562772105,0.5099031530132195
ownership,0.8007908044312424,0.8007908044312424,0.7789671393395409,0.8007908044312424,0.6610171438258297,0.6610171438258297,0.5264395723844782,0.5551459394469765,0.7101639672010263,0.7101639672010263,0.6549393211012166,0.7101639672010261,0.4514555424724425,0.4514555424724425,0.3727630316100199,0.39110381297955044,0.7018275710016182,0.14992077070125448,0.5279491037951933,0.4151918324594893,0.5688173842875929,0.6456212304288697,0.535693803076416,0.6886712293610305
classical,0.69249956294607,0.69249956294607,0.5490963240455676,0.6604216840693643,0.5589050593620979,0.5589050593620979,0.3818161632750591,0.4159980505351524,0.6620529365984967,0.6620529365984967,0.47882504668498105,0.5951953341980739,0.42710788569995445,0.42710788569995445,0.25133776758149695,0.29871775129259154,0.464768146660634,0.11425491308568549,0.4443903599995269,0.3690099714655422,0.47102757535993844,0.537303894921256,0.4789926523433046,0.5627084798933703
impotent,0.7823625262366887,0.7823625262366887,0.7736570272861563,0.7823625262366888,0.6510597859984208,0.6510597859984208,0.5544788919826739,0.5752420321129005,0.7550955003916486,0.7550955003916486,0.7355112932236073,0.7550955003916486,0.41745694364863495,0.41745694364863495,0.34926187771660927,0.36368828030425765,0.6602649784790529,0.34523752819976283,0.5091633303542406,0.4151670415227623,0.5377230159154697,0.5863667622412044,0.5066161589727385,0.6029614843842575
doll,0.7395404278919576,0.7395404278919576,0.4775712561818369,0.5241833680149367,0.5900965171779565,0.5900965171779565,0.43012705104471166,0.46429335003889727,0.7337369193358613,0.7337369193358613,0.4445973762737479,0.4792142272619793,0.4228292800814734,0.4228292800814734,0.33841306212660954,0.3659443655994436,0.557494587380004,0.21537062090907388,0.4329169127222401,0.3348009547442488,0.4606090075065468,0.5788975410023651,0.4647729773618171,0.6031873766592392
penalty,0.7696632684603968,0.7696632684603968,0.6064000713841995,0.6481609586562758,0.6573664947554767,0.6573664947554767,0.5243982581050775,0.5514084682599081,0.7208538497272271,0.7208538497272271,0.4182096026802682,0.5155034982714648,0.4476781549578794,0.4476781549578794,0.32263222012955495,0.37447515432657646,0.6546060311686311,0.29037738323467066,0.49470702432791724,0.42099056210105734,0.526798342652354,0.45456097310935883,0.4327422933280246,0.4731016313936245
conscious,0.7098649389094318,0.7098649389094318,0.5521507674694014,0.6107728130847832,0.5893891908145419,0.5893891908145419,0.47231881439425005,0.4934743787728539,0.6983382362194616,0.6983382362194616,0.4415243554166873,0.5063977757078449,0.4094286644696467,0.4094286644696467,0.30220795223042846,0.32518637847980597,0.5280446936085711,0.30523120683710825,0.5168920781302235,0.43877159205706767,0.5442329274808888,0.5944968892539122,0.49985381005834506,0.6185218396179498
