word,ambiguity_type,model,nbhd_mean_distance
girlfriend,P,word2vec_recipe_10_HOM,0.1098135
dispenser,M,word2vec_recipe_10_HOM,0.35674626
slant,P,word2vec_recipe_10_HOM,0.35104355
conscience,P,word2vec_recipe_10_HOM,0.182792
immature,P,word2vec_recipe_10_HOM,0.24799742
connect,P,word2vec_recipe_10_HOM,0.30165982
truck,H,word2vec_recipe_10_HOM,0.33950585
banana,P,word2vec_recipe_10_HOM,0.3848393
weep,P,word2vec_recipe_10_HOM,0.41222903
goal,P,word2vec_recipe_10_HOM,0.39503863
purpose,P,word2vec_recipe_10_HOM,0.4778143
nation,P,word2vec_recipe_10_HOM,0.13354506
proper,P,word2vec_recipe_10_HOM,0.3803577
noon,M,word2vec_recipe_10_HOM,0.33474633
calculate,P,word2vec_recipe_10_HOM,0.37343118
salmon,P,word2vec_recipe_10_HOM,0.35626096
overhead,P,word2vec_recipe_10_HOM,0.2737045
mighty,P,word2vec_recipe_10_HOM,0.2763456
galaxy,P,word2vec_recipe_10_HOM,0.23798113
mirror,P,word2vec_recipe_10_HOM,0.29406986
crowd,P,word2vec_recipe_10_HOM,0.47278678
bullet,P,word2vec_recipe_10_HOM,0.35524786
fishy,P,word2vec_recipe_10_HOM,0.29597595
strike,P,word2vec_recipe_10_HOM,0.34503788
maternal,P,word2vec_recipe_10_HOM,0.09885554
havoc,P,word2vec_recipe_10_HOM,0.15869278
farce,P,word2vec_recipe_10_HOM,0.34242412
puck,M,word2vec_recipe_10_HOM,0.364996
indulge,P,word2vec_recipe_10_HOM,0.30814493
lure,P,word2vec_recipe_10_HOM,0.18076292
jet,H,word2vec_recipe_10_HOM,0.38051918
buckshot,M,word2vec_recipe_10_HOM,0.21955131
efficient,P,word2vec_recipe_10_HOM,0.26662862
surround,P,word2vec_recipe_10_HOM,0.45114997
rocker,P,word2vec_recipe_10_HOM,0.3676181
topic,P,word2vec_recipe_10_HOM,0.1618824
compulsive,P,word2vec_recipe_10_HOM,0.09257922
sunshine,P,word2vec_recipe_10_HOM,0.32842812
subtle,P,word2vec_recipe_10_HOM,0.2544903
warmed,P,word2vec_recipe_10_HOM,0.46347305
geometry,P,word2vec_recipe_10_HOM,0.14615656
excessive,M,word2vec_recipe_10_HOM,0.47332314
dine,P,word2vec_recipe_10_HOM,0.21421343
stagecoach,M,word2vec_recipe_10_HOM,0.14143622
antenna,P,word2vec_recipe_10_HOM,0.23877686
elderly,M,word2vec_recipe_10_HOM,0.18078014
talent,P,word2vec_recipe_10_HOM,0.10358394
tooth,P,word2vec_recipe_10_HOM,0.49270144
mute,P,word2vec_recipe_10_HOM,0.18537945
prosperity,M,word2vec_recipe_10_HOM,0.17163143
tote,P,word2vec_recipe_10_HOM,0.31964657
starve,P,word2vec_recipe_10_HOM,0.16835281
moth,P,word2vec_recipe_10_HOM,0.20595287
mug,P,word2vec_recipe_10_HOM,0.37687537
panel,P,word2vec_recipe_10_HOM,0.2794284
tender,H,word2vec_recipe_10_HOM,0.38912717
robe,P,word2vec_recipe_10_HOM,0.22090675
expand,P,word2vec_recipe_10_HOM,0.44471237
flame,P,word2vec_recipe_10_HOM,0.42880934
positive,P,word2vec_recipe_10_HOM,0.14926368
hungry,P,word2vec_recipe_10_HOM,0.3469459
imperative,P,word2vec_recipe_10_HOM,0.24463838
bank,H,word2vec_recipe_10_HOM,0.3797031
bark,H,word2vec_recipe_10_HOM,0.38299394
harvest,P,word2vec_recipe_10_HOM,0.33064216
powder,P,word2vec_recipe_10_HOM,0.34127027
spur,P,word2vec_recipe_10_HOM,0.20673361
sensation,P,word2vec_recipe_10_HOM,0.41390792
brandy,P,word2vec_recipe_10_HOM,0.3128079
simmer,P,word2vec_recipe_10_HOM,0.3775143
compensate,P,word2vec_recipe_10_HOM,0.3826305
stinky,M,word2vec_recipe_10_HOM,0.2074193
grunt,P,word2vec_recipe_10_HOM,0.31428683
flush,H,word2vec_recipe_10_HOM,0.42768583
pulp,P,word2vec_recipe_10_HOM,0.4270814
welfare,P,word2vec_recipe_10_HOM,0.30707255
slumber,P,word2vec_recipe_10_HOM,0.21115424
pedestal,P,word2vec_recipe_10_HOM,0.40232614
stylish,M,word2vec_recipe_10_HOM,0.24075899
pity,P,word2vec_recipe_10_HOM,0.10753798
skilled,P,word2vec_recipe_10_HOM,0.38949364
fulfill,P,word2vec_recipe_10_HOM,0.15373649
skid,P,word2vec_recipe_10_HOM,0.25126222
crocodile,P,word2vec_recipe_10_HOM,0.3311035
tenth,P,word2vec_recipe_10_HOM,0.3530936
ingredient,P,word2vec_recipe_10_HOM,0.43827015
toot,P,word2vec_recipe_10_HOM,0.17607962
torpedo,P,word2vec_recipe_10_HOM,0.31009868
