word,ambiguity_type,model,nbhd_mean_distance
porcelain,P,word2vec_tiny_40_HYP,0.3239057
leak,P,word2vec_tiny_40_HYP,0.50387317
untouched,P,word2vec_tiny_40_HYP,0.40562385
cluck,P,word2vec_tiny_40_HYP,0.3970051
badge,P,word2vec_tiny_40_HYP,0.48398677
fateful,P,word2vec_tiny_40_HYP,0.2980546
rag,H,word2vec_tiny_40_HYP,0.41075715
agency,P,word2vec_tiny_40_HYP,0.2866263
kicker,P,word2vec_tiny_40_HYP,0.38708207
impossible,P,word2vec_tiny_40_HYP,0.41213208
splinter,P,word2vec_tiny_40_HYP,0.37434018
brighten,P,word2vec_tiny_40_HYP,0.4199254
character,P,word2vec_tiny_40_HYP,0.47095397
conscious,P,word2vec_tiny_40_HYP,0.18108049
cello,M,word2vec_tiny_40_HYP,0.32892516
device,P,word2vec_tiny_40_HYP,0.4345796
seed,P,word2vec_tiny_40_HYP,0.45648468
feature,P,word2vec_tiny_40_HYP,0.35401988
hammock,M,word2vec_tiny_40_HYP,0.40097266
stride,P,word2vec_tiny_40_HYP,0.22103757
patrol,P,word2vec_tiny_40_HYP,0.37948823
boom,H,word2vec_tiny_40_HYP,0.44334397
tall,P,word2vec_tiny_40_HYP,0.49838716
scrap,H,word2vec_tiny_40_HYP,0.31738788
outer,M,word2vec_tiny_40_HYP,0.4291639
journal,P,word2vec_tiny_40_HYP,0.40177068
humble,P,word2vec_tiny_40_HYP,0.41896516
mixture,P,word2vec_tiny_40_HYP,0.34522244
jumbo,P,word2vec_tiny_40_HYP,0.41328108
mattress,P,word2vec_tiny_40_HYP,0.4551217
sway,P,word2vec_tiny_40_HYP,0.4759327
adjust,P,word2vec_tiny_40_HYP,0.39380524
pharmacy,P,word2vec_tiny_40_HYP,0.39814422
guilt,P,word2vec_tiny_40_HYP,0.32912245
yellow,P,word2vec_tiny_40_HYP,0.46546856
stretch,P,word2vec_tiny_40_HYP,0.51114833
untie,P,word2vec_tiny_40_HYP,0.4755437
invention,P,word2vec_tiny_40_HYP,0.37251484
sailboat,M,word2vec_tiny_40_HYP,0.38920966
degree,P,word2vec_tiny_40_HYP,0.23749577
strange,P,word2vec_tiny_40_HYP,0.5020138
threshold,P,word2vec_tiny_40_HYP,0.27675822
nutty,P,word2vec_tiny_40_HYP,0.37939164
evil,P,word2vec_tiny_40_HYP,0.37941363
grid,P,word2vec_tiny_40_HYP,0.3759169
cheeky,M,word2vec_tiny_40_HYP,0.3469591
setback,P,word2vec_tiny_40_HYP,0.21396571
smart,P,word2vec_tiny_40_HYP,0.479688
powerless,P,word2vec_tiny_40_HYP,0.31793407
drug,P,word2vec_tiny_40_HYP,0.23897082
bowler,H,word2vec_tiny_40_HYP,0.26356733
personnel,P,word2vec_tiny_40_HYP,0.26741734
enforce,P,word2vec_tiny_40_HYP,0.26732847
scientist,M,word2vec_tiny_40_HYP,0.48515874
toll,H,word2vec_tiny_40_HYP,0.39372122
soil,H,word2vec_tiny_40_HYP,0.42850128
near,P,word2vec_tiny_40_HYP,0.58038414
fling,P,word2vec_tiny_40_HYP,0.27466324
tolerate,P,word2vec_tiny_40_HYP,0.19071306
suspense,P,word2vec_tiny_40_HYP,0.26627287
mechanism,P,word2vec_tiny_40_HYP,0.32263297
magical,P,word2vec_tiny_40_HYP,0.4171362
strip,H,word2vec_tiny_40_HYP,0.46750724
squeeze,P,word2vec_tiny_40_HYP,0.52299315
gap,P,word2vec_tiny_40_HYP,0.51607144
tiny,M,word2vec_tiny_40_HYP,0.50486064
hockey,P,word2vec_tiny_40_HYP,0.46635714
label,P,word2vec_tiny_40_HYP,0.52313834
deserve,P,word2vec_tiny_40_HYP,0.51273507
briefcase,M,word2vec_tiny_40_HYP,0.41956702
betray,P,word2vec_tiny_40_HYP,0.16469698
salesman,M,word2vec_tiny_40_HYP,0.32278892
uncover,P,word2vec_tiny_40_HYP,0.4371324
flood,P,word2vec_tiny_40_HYP,0.47819167
design,P,word2vec_tiny_40_HYP,0.46335837
pottery,P,word2vec_tiny_40_HYP,0.36950263
lace,P,word2vec_tiny_40_HYP,0.424106
